"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"21-0009230","0","02/19/2021","19:42:14","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","31      ","  ","ORLANDO                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009231","0","02/19/2021","19:57:02","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","91      ","  ","WALDECK                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009232","0","02/19/2021","20:16:11","113 ","Cooking fire, confined to container               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","429 ","Multifamily dwelling                              ","100     ","  ","FULTON                   ","  ","ST  ",": #15-1251                              ","  ","                         ","  ","    "
"21-0009235","0","02/19/2021","20:57:20","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","106     ","  ","MINDEN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009236","0","02/19/2021","21:27:37","554 ","Assist invalid                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","40      ","  ","WALLINGFORD              ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0009238","0","02/19/2021","21:56:42","550 ","Public service assistance, Other                  ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","900 ","Outside or special property, Other                ","        ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","POPLAR                   ","  ","ST  "
"21-0009239","0","02/19/2021","22:00:46","111 ","Building fire                                     ","250000.0000","30000.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","34      ","  ","FESSENDEN                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009240","0","02/19/2021","22:23:22","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","91      ","  ","WASHINGTON               ","  ","ST  ",": #WYN650                               ","  ","                         ","  ","    "
"21-0009244","0","02/19/2021","23:05:22","511 ","Lock-out                                          ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","960 ","Street, Other                                     ","152     ","  ","QUINCY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009245","0","02/19/2021","23:06:00","111 ","Building fire                                     ","50000.0000","50000.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","449     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009246","0","02/19/2021","23:10:08","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","    ","","        ","  ","COMMERCIAL               ","  ","ST  ","                                        ","  ","ATLANTIC                 ","  ","AVE "
"21-0009248","0","02/19/2021","23:22:04","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","963 ","Street or road in commercial area                 ","80-86   ","  ","COMMERCIAL               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009249","0","02/19/2021","23:25:42","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02115     ","    ","","510     ","  ","PARKER                   ","  ","ST  ",": @COL-NEU-WEST VILLAGE A SOUTH         ","  ","                         ","  ","    "
"21-0009251","0","02/20/2021","00:23:51","114 ","Chimney or flue fire, confined to chimney or flue ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","449     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009252","0","02/20/2021","00:40:04","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","    ","","39      ","  ","BAIRD                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009253","0","02/20/2021","00:42:18","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","439 ","Boarding/rooming house, residential hotels        ","109     ","  ","PETERBOROUGH             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009254","0","02/20/2021","00:48:45","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","115     ","  ","STANWOOD                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009255","0","02/20/2021","00:54:49","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","963 ","Street or road in commercial area                 ","178     ","  ","KNEELAND                 ","  ","ST  ",": @SOUTH STREET DINER - 178 KNEELAND ST,","  ","                         ","  ","    "
"21-0009256","0","02/20/2021","00:59:11","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","459 ","Residential board and care                        ","11      ","  ","WOODCLIFF                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009260","0","02/20/2021","02:04:52","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02118     ","400 ","Residential, Other                                ","614     ","  ","COLUMBUS                 ","  ","AVE ",": #WYN4764                              ","  ","                         ","  ","    "
"21-0009262","0","02/20/2021","02:13:05","411 ","Gasoline or other flammable liquid spill          ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","962 ","Residential street, road or residential driveway  ","26      ","  ","QUINCY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009263","0","02/20/2021","02:34:36","445 ","Arcing, shorted electrical equipment              ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","599 ","Business office                                   ","200     ","  ","CLARENDON                ","  ","ST  ",": #13-1547                              ","  ","                         ","  ","    "
"21-0009264","0","02/20/2021","02:45:48","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","500 ","Mercantile, business, Other                       ","53      ","  ","MARLBOROUGH              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009266","0","02/20/2021","03:51:05","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","900 ","Outside or special property, Other                ","        ","  ","FORDHAM                  ","  ","RD  ","                                        ","  ","BRIGHTON                 ","  ","AVE "
"21-0009267","0","02/20/2021","05:32:48","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","963 ","Street or road in commercial area                 ","717     ","  ","ATLANTIC                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009268","0","02/20/2021","05:51:46","741 ","Sprinkler activation, no fire - unintentional     ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","599 ","Business office                                   ","150     ","  ","OLIVER                   ","  ","ST  ",": #12-1291                              ","  ","                         ","  ","    "
"21-0009269","0","02/20/2021","05:57:10","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","    ","","9       ","  ","ROCKLAND                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009270","0","02/20/2021","06:12:03","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","95      ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009271","0","02/20/2021","06:49:11","551 ","Assist police or other governmental agency        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","900 ","Outside or special property, Other                ","208     ","  ","WASHINGTON               ","  ","ST  ",": @MBTA STA-STATE - 208 WASHINGTON ST   ","  ","                         ","  ","    "
"21-0009273","0","02/20/2021","07:37:33","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02119     ","    ","","15      ","  ","WOODVILLE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009274","0","02/20/2021","07:37:40","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","134     ","  ","SALEM                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009275","0","02/20/2021","07:47:57","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","74      ","  ","SALEM                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009276","0","02/20/2021","07:49:31","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","215 ","High school/junior high school/middle school      ","190     ","  ","CUMMINS                  ","  ","HWY ",": #12-2638                              ","  ","                         ","  ","    "
"21-0009278","0","02/20/2021","08:07:52","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","419 ","1 or 2 family dwelling                            ","71      ","  ","NONANTUM                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009279","0","02/20/2021","08:10:27","554 ","Assist invalid                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1925    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009281","0","02/20/2021","08:20:27","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","400 ","Residential, Other                                ","7       ","  ","HARCOURT                 ","  ","ST  ",": #WYN4498                              ","  ","                         ","  ","    "
"21-0009283","0","02/20/2021","08:52:22","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","27      ","  ","HANSBOROUGH              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009285","0","02/20/2021","09:56:58","552 ","Police matter                                     ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","960 ","Street, Other                                     ","68      ","  ","MURDOCK                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009286","0","02/20/2021","10:25:38","554 ","Assist invalid                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","30      ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009287","0","02/20/2021","10:38:19","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","20      ","E ","BROOKLINE                ","  ","ST  ",": #PAT5394                              ","  ","                         ","  ","    "
"21-0009288","0","02/20/2021","10:49:37","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","    ","","5       ","  ","BURTON                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009289","0","02/20/2021","11:04:58","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","900 ","Outside or special property, Other                ","        ","  ","D                        ","  ","ST  ","                                        ","  ","OLD COLONY               ","  ","AVE "
"21-0009290","0","02/20/2021","11:16:13","552 ","Police matter                                     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","40      ","  ","WAYLAND                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009291","0","02/20/2021","11:30:00","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","960 ","Street, Other                                     ","        ","  ","MILK                     ","  ","ST  ",": #1283                                 ","  ","OLIVER                   ","  ","ST  "
"21-0009292","0","02/20/2021","11:32:32","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","70      ","  ","AMES                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009293","0","02/20/2021","11:32:50","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","1000    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009294","0","02/20/2021","11:33:37","441 ","Heat from short circuit (wiring), defective/worn  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","511 ","Convenience store                                 ","734     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009297","0","02/20/2021","11:34:58","113 ","Cooking fire, confined to container               ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","519 ","Food and beverage sales, grocery store            ","1100    ","  ","MASSACHUSETTS            ","  ","AVE ",": @STOP & SHOP - 1100 MASSACHUSETTS AVE,","  ","                         ","  ","    "
"21-0009300","0","02/20/2021","11:58:54","554 ","Assist invalid                                    ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","459 ","Residential board and care                        ","15A     ","  ","GORDON                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009301","0","02/20/2021","12:00:20","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","213 ","Elementary school, including kindergarten         ","570     ","  ","AMERICAN LEGION          ","  ","HWY ",": #12-2588                              ","  ","                         ","  ","    "
"21-0009302","0","02/20/2021","12:08:04","500 ","Service Call, other                               ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","419 ","1 or 2 family dwelling                            ","40      ","  ","EVERGREEN                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009303","0","02/20/2021","12:09:18","553 ","Public service                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","323     ","  ","SEAVER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009305","0","02/20/2021","12:25:09","554 ","Assist invalid                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","20      ","  ","WASHINGTON               ","  ","ST  ",": @BHA-PATRICIA WHITE                   ","  ","                         ","  ","    "
"21-0009306","0","02/20/2021","12:49:25","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","400 ","Residential, Other                                ","        ","  ","                         ","  ","    ",": #WYN6425                              ","  ","                         ","  ","    "
"21-0009307","0","02/20/2021","12:50:34","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","400 ","Residential, Other                                ","358     ","  ","WALNUT                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009308","0","02/20/2021","12:56:11","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","900 ","Outside or special property, Other                ","100     ","  ","LEGENDS                  ","  ","WAY ",": @BLDG-BOSTON GARDEN                   ","  ","                         ","  ","    "
"21-0009309","0","02/20/2021","13:06:17","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","900 ","Outside or special property, Other                ","1       ","  ","CHARLES                  ","S ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009311","0","02/20/2021","13:09:14","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","000 ","Property Use, Other                               ","250     ","  ","DUDLEY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009313","0","02/20/2021","13:14:25","553 ","Public service                                    ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","272     ","E ","EAGLE                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009314","0","02/20/2021","13:15:19","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","214     ","  ","HARVARD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009315","0","02/20/2021","13:16:36","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","25      ","  ","JAN KARSKI               ","  ","WAY ",": #WYN6547                              ","  ","                         ","  ","    "
"21-0009319","0","02/20/2021","13:46:40","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","400 ","Residential, Other                                ","230-232 ","  ","NEWBURY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009321","0","02/20/2021","13:54:33","113 ","Cooking fire, confined to container               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","419 ","1 or 2 family dwelling                            ","19      ","  ","COBDEN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009322","0","02/20/2021","14:08:30","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","400 ","Residential, Other                                ","706-712 ","  ","HUNTINGTON               ","  ","AVE ",": #12-2364                              ","  ","                         ","  ","    "
"21-0009323","0","02/20/2021","14:09:27","700 ","False alarm or false call, Other                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","400 ","Residential, Other                                ","230     ","  ","NEWBURY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009324","0","02/20/2021","14:30:00","511 ","Lock-out                                          ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","    ","","706-712 ","  ","HUNTINGTON               ","  ","AVE ",": #12-2364                              ","  ","                         ","  ","    "
"21-0009325","0","02/20/2021","14:31:47","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","400 ","Residential, Other                                ","306     ","  ","BEACON                   ","  ","ST  ",": #WYN4849                              ","  ","                         ","  ","    "
"21-0009329","0","02/20/2021","15:01:57","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","759     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009330","0","02/20/2021","15:08:47","714 ","Central station, malicious false alarm            ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","161 ","Restaurant or cafeteria                           ","210     ","  ","BRIGHTON                 ","  ","AVE ",": #INS499                               ","  ","                         ","  ","    "
"21-0009333","0","02/20/2021","15:37:37","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","400 ","Residential, Other                                ","40      ","  ","BATTERY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009335","0","02/20/2021","15:48:53","424 ","Carbon monoxide incident                          ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","    ","","330     ","  ","BOWDOIN                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009336","0","02/20/2021","15:58:13","113 ","Cooking fire, confined to container               ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","40      ","  ","EAST PIER                ","  ","DR  ","                                        ","  ","                         ","  ","    "
"21-0009337","0","02/20/2021","15:59:05","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02120     ","400 ","Residential, Other                                ","951-965 ","  ","TREMONT                  ","  ","ST  ",": #AFA7836                              ","  ","                         ","  ","    "
"21-0009339","0","02/20/2021","16:29:07","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","    ","","        ","  ","ATKINSON                 ","  ","ST  ","                                        ","  ","SOUTHAMPTON              ","  ","ST  "
"21-0009343","0","02/20/2021","16:45:25","600 ","Good intent call, Other                           ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","97      ","  ","DAKOTA                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009344","0","02/20/2021","16:45:31","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","419 ","1 or 2 family dwelling                            ","51      ","  ","SAINT ANDREW             ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0009345","0","02/20/2021","16:45:44","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","    ","","131     ","  ","ZEIGLER                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009346","0","02/20/2021","16:54:57","621 ","Wrong location                                    ","0.0000","0.0000","03   ","DO             ","Dorchester                                        ","02125     ","900 ","Outside or special property, Other                ","144     ","  ","MOUNT VERNON             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009348","0","02/20/2021","17:00:25","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","    ","","144     ","  ","MOUNT VERNON             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009349","0","02/20/2021","17:01:47","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","962 ","Residential street, road or residential driveway  ","120     ","  ","WALDEMAR                 ","  ","AVE ",": #6253                                 ","  ","                         ","  ","    "
"21-0009351","0","02/20/2021","17:08:19","522 ","Water or steam leak                               ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","449 ","Hotel/motel, commercial                           ","391-395 ","  ","D                        ","  ","ST  ",": #AFA8277                              ","  ","                         ","  ","    "
"21-0009352","0","02/20/2021","17:12:48","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","174 ","Rapid transit station                             ","426     ","  ","WASHINGTON               ","  ","ST  ",": @MBTA STA-DOWNTOWN CROSSING ORG       ","  ","                         ","  ","    "
"21-0009354","0","02/20/2021","17:21:44","522 ","Water or steam leak                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","11      ","  ","ROYCE                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0009355","0","02/20/2021","17:48:16","113 ","Cooking fire, confined to container               ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","1285    ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009356","0","02/20/2021","17:50:53","118 ","Trash or rubbish fire, contained                  ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","419 ","1 or 2 family dwelling                            ","5       ","  ","DUXBURY                  ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0009357","0","02/20/2021","18:08:16","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","900 ","Outside or special property, Other                ","19      ","  ","COLONEL MICHAEL J. MCDONO","  ","WAY ",": alias 19 MCDONO                       ","  ","                         ","  ","    "
"21-0009358","0","02/20/2021","18:20:29","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","1287    ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009361","0","02/20/2021","18:53:22","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","439 ","Boarding/rooming house, residential hotels        ","96      ","  ","BELLEVUE                 ","  ","ST  ",": #INS1182                              ","  ","                         ","  ","    "
"21-0009362","0","02/20/2021","19:05:52","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","645     ","  ","TREMONT                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009364","0","02/20/2021","19:16:28","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02119     ","557 ","Personal service, including barber & beauty shops ","3114    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009365","0","02/20/2021","19:22:55","445 ","Arcing, shorted electrical equipment              ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","18      ","  ","DWIGHT                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009366","0","02/20/2021","19:35:21","113 ","Cooking fire, confined to container               ","0.0000","20.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","94      ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0009367","0","02/20/2021","19:36:18","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02163     ","460 ","Dormitory-type residence, other                   ","34      ","  ","HARVARD                  ","  ","WAY ",": #HAR349                               ","  ","                         ","  ","    "
"21-0009369","0","02/20/2021","19:51:50","552 ","Police matter                                     ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","174 ","Rapid transit station                             ","96-104  ","  ","BOYLSTON                 ","  ","ST  ",": @MBTA STA-STONY BROOK                 ","  ","                         ","  ","    "
"21-0009370","0","02/20/2021","19:57:12","553 ","Public service                                    ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02119     ","429 ","Multifamily dwelling                              ","3118    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009373","0","02/20/2021","20:33:14","511 ","Lock-out                                          ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","962 ","Residential street, road or residential driveway  ","10      ","  ","CORNAUBA                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009374","0","02/20/2021","20:36:57","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","2       ","  ","MARDEN                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0009376","0","02/20/2021","20:59:17","714 ","Central station, malicious false alarm            ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","38      ","  ","HARWOOD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009377","0","02/20/2021","21:06:45","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","69-71   ","  ","MAVERICK                 ","  ","SQ  ","                                        ","  ","                         ","  ","    "
"21-0009381","0","02/20/2021","22:09:36","730 ","System malfunction, Other                         ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","107     ","  ","STOUGHTON                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009382","0","02/20/2021","22:10:59","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","000 ","Property Use, Other                               ","80      ","W ","DEDHAM                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0009385","0","02/20/2021","22:59:51","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02124     ","429 ","Multifamily dwelling                              ","638     ","  ","MORTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
